Species,Museum,Catalog,ID,TL,SVL,TAL,HL,HW,HH,HE,HP,HN,MBW,MBH,CW,CH,Ven,SC,MID,PO,SO,SL,IL,IOS,Longitude,Latitude,Stage
P_arcosae,UTA,55938,P_arcosae_55938,6.115892125,5.993961427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,30,29,2,2,10,11,7,-80.411696,-0.709606,juvenile
P_dunni,UTA,4367,P_dunni_4367,6.102558595,5.940171253,3.980781819,2.770963182,2.49640521,1.818512468,2.405941943,2.588721674,2.739707091,2.309990635,1.836210367,1.52546502,1.483007946,155,39,25,2,1,NA,NA,9,-95.37,16.37,adult
P_dunni,UTA,4368,P_dunni_4368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-95.35,16.36,adult
P_dunni,CNAR,4374,P_dunni_4374,5.888877958,5.739792912,3.893775307,2.966328757,2.476168486,2.102110409,2.537927365,2.704488944,2.818632305,2.422856762,2.256316851,1.714893523,1.706645183,147,35,25,2,1,10,11,8,-94.99,16.22,adult
P_dunni,CNAR,4375,P_dunni_4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,25,3,1,10,11,6,-94.99,16.22,adult
P_dunni,UTA,9090,P_dunni_9090,6.033086222,5.918893854,3.649617381,2.88028998,2.647121098,2.16419373,2.481516122,2.645781942,2.783398208,2.273999933,2.430181802,1.611747778,1.434028243,147,34,25,2,1,10,10,7,-95.38,16.39,juvenile
P_dunni,UTA,12553,P_dunni_12553,5.631211782,5.484796933,3.867336718,2.957253609,2.427254565,2.077395092,2.581473888,2.741743721,2.850254871,2.153441773,2.081495075,1.430487767,1.581745346,151,40,21,3,1,10,10,9,-94.15,16.42,adult
P_dunni,CNAR,12968,P_dunni_12968,5.710427017,5.575949103,3.791093726,2.819478318,2.342794472,1.80779973,2.413861815,2.601934825,2.699328428,2.117915428,2.326684712,1.652259748,1.323463771,144,45,25,3,1,10,10,8,-95.080353,16.563155,adult
P_dunni,CNAR,13018,P_dunni_13018,5.631211782,5.501258211,3.756111083,2.948590883,2.316456424,NA,2.589678968,2.807747794,2.873165872,2.625024211,2.554042088,1.522779836,1.579223277,149,39,25,3,1,10,10,6,-95.034,16.6697,adult
P_dunni,CNAR,13029,P_dunni_13029,5.945420609,5.840641657,3.564917354,2.872948439,1.958198275,1.973772785,2.514159696,2.723287177,2.851072078,2.059598612,2.144699052,1.438323955,1.392085541,148,30,21,2,1,9,11,6,-95.034,16.6697,adult
P_dunni,UTA,17905,P_dunni_17905,6.284134161,6.137727054,3.89178599,3.13728851,2.730835376,1.993610049,2.754717881,2.890321523,3.02280954,2.747149778,2.422380317,1.928255926,1.765240928,146,34,23,3,1,9,11,7,-95.35,16.36,NA
P_dunni,CNAR,24940,P_dunni_24940,5.929589143,5.793013608,3.813769656,2.90256858,2.487537376,1.916385586,2.596837739,2.73100762,2.807234334,2.232711184,2.193474275,1.946380333,1.631949114,157,33,27,3,1,10,10,5,-96.062801,15.78034,NA
P_dunni,CNAR,31935,P_dunni_31935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,19,3,2,9,11,6,-95.969021,15.839009,NA
P_dunni,CNAR,31936,P_dunni_31936,5.752572639,5.620400866,3.776504941,3.107869857,2.549613293,2.146202081,2.687028722,2.821567317,2.978337595,2.255837752,2.332673207,1.680233764,1.440033185,132,34,23,3,1,10,9,8,-96.268252,15.687117,juvenile
P_dunni,CNAR,31937,P_dunni_31937,5.948034989,5.796057751,3.913798955,3.013029343,2.41071777,2.098547704,2.570925539,2.726493276,2.863560193,2.045434393,2.254791702,1.742963403,1.552963971,160,40,23,3,1,11,10,4,-95.905861,15.842045,adult
P_dunni,CNAR,31938,P_dunni_31938,5.105945474,4.9698133,3.779830731,2.989380918,2.443912208,2.055086244,2.602879349,2.691995758,2.877136379,2.113874675,2.153142363,1.7136737,1.569910454,161,41,21,2,1,12,11,7,-95.904241,15.84221,adult
P_dunni,CNAR,31939,P_dunni_31939,5.488937726,5.347107531,3.832422237,2.987725813,2.62094475,2.091861628,2.578025898,2.765392146,2.854203141,2.547992121,2.100232217,1.713723405,1.48710962,152,42,27,2,1,12,11,4,-96.132607,15.752892,adult
P_dunni,CNAR,31940,P_dunni_31940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,37,23,3,1,11,11,6,-96.132779,15.752474,juvenile
P_dunni,CNAR,31941,P_dunni_31941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0047,15.8753,adult
P_dunni,CNAR,31942,P_dunni_31942,5.996452089,5.886104031,3.61588409,2.923318014,2.494904777,1.884696844,2.554902582,2.687882063,2.844149841,2.44844742,2.653261663,1.516970133,1.380804915,156,30,21,3,1,10,11,7,-95.23,16.36,NA
P_dunni,KU,33812,P_dunni_33812,6.173786104,6.03787092,3.818408089,2.934082908,2.376548561,2.131542647,2.514702462,2.654355369,2.807890493,1.843127794,1.70647276,1.445915238,1.4942854,149,42,23,1,1,10,11,7,-96.4394,15.9675,adult
P_dunni,CNAR,33967,P_dunni_33967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,25,NA,NA,NA,NA,NA,-95.28,16.33,NA
